Ticker,Broker_Score_ct,Broker_Score_wtg,Benchmark,1_Yr_Return,3_Yr_Return,5_Yr_Return,7_Yr_Return,1_Yr_Return_BM,3_Yr_Return_BM,5_Yr_Return_BM,7_Yr_Return_BM,AUM,AUM_2016,Num_of_Holdings,Turnover_2005,Turnover_2004,Turnover_2003,3_yr_Turnover_Avg,Net_Expense_Ratio,Avg_Mkt_Cap_M,P_E,P_B,P_S,P_C,Debt_to_Capital,Net_Margin,ROA,ROE
DREGX,284,351,MSCI_EM,46.10,-0.73,15.22,10.95,36.38,-2.99,13.83,9.19,241196869.00,1457172301.00,82.00,350.00,356.90,355.00,353.97,1.86,4387.36,18.96,3.68,1.91,13.56,4.52,11.60,9.19,23.69
DNEMX,56,196,MSCI_EM,39.08,-11.21,10.69,6.28,36.38,-2.99,13.83,9.19,14021642.00,56097852.00,,356.90,,,356.90,2.03,,,,,,,,,
FIMKX,845,621,MSCI_EM,38.85,-5.50,11.63,6.70,36.38,-2.99,13.83,9.19,41531238.00,514581847.00,,54.00,,,54.00,1.30,,,,,,,,,
FEMKX,845,624,MSCI_EM,39.67,-6.38,10.97,6.25,36.38,-2.99,13.83,9.19,1990031368.00,3996375275.00,,68.00,,,68.00,1.66,,,,,,,,,
GEMIX,373,622,MSCI_EM,32.06,-7.32,10.25,6.34,36.38,-2.99,13.83,9.19,392317920.00,726989947.00,79.00,91.00,150.00,82.00,107.67,1.18,14139.16,13.46,3.25,1.55,9.02,5.36,13.77,10.34,24.60
GMLVX,0,0,MSCI_EM,19.08,-13.06,-2.08,0.12,36.38,-2.99,13.83,9.19,652281116.00,118855970.00,75.00,20.00,26.27,50.00,32.09,1.59,30143.38,15.45,2.25,0.58,6.18,39.86,10.20,8.31,15.48
HLEMX,421,527,MSCI_EM,33.70,-3.79,11.71,8.46,36.38,-2.99,13.83,9.19,974577579.00,3484024840.00,,36.00,,95.00,65.50,1.68,,,,,,,,,
HLMEX,0,0,MSCI_EM,35.07,-3.47,11.97,8.70,36.38,-2.99,13.83,9.19,27764873.00,4039879822.00,,,,,,1.75,,,,,,,,,
ICARX,159,117,MSCI_EM,21.74,-9.34,6.26,4.12,36.38,-2.99,13.83,9.19,117233670.00,55734069.00,139.00,186.00,,81.00,133.50,1.93,3917.10,28.69,3.14,1.10,17.49,1.33,7.35,5.65,12.95
GTDDX,523,502,MSCI_EM,43.04,-2.40,15.35,11.70,36.38,-2.99,13.83,9.19,387920014.00,3028651908.00,120.00,40.00,,,40.00,1.91,4846.74,15.33,3.63,1.41,10.26,6.70,13.82,11.39,27.14
IPOAX,455,579,MSCI_EM,39.73,0.25,13.62,8.01,36.38,-2.99,13.83,9.19,156422940.00,845495292.00,92.00,87.00,61.00,16.00,54.67,2.00,7889.88,13.10,2.51,1.40,8.68,1.30,18.73,10.86,21.13
JMIEX,358,583,MSCI_EM,37.64,-0.69,13.88,9.59,36.38,-2.99,13.83,9.19,239938803.00,3573719315.00,64.00,149.00,,,149.00,1.79,15731.28,15.54,3.82,1.65,10.58,7.65,16.54,12.64,27.37
LZEMX,393,516,MSCI_EM,33.57,-1.69,14.37,10.21,36.38,-2.99,13.83,9.19,1608034001.00,12988127507.00,93.00,48.00,43.00,31.00,40.67,1.45,8119.59,11.54,2.84,1.27,6.79,9.26,15.35,11.15,27.63
MGEMX,1069,513,MSCI_EM,41.17,-3.47,12.28,8.37,36.38,-2.99,13.83,9.19,1871625396.00,1110774639.00,229.00,43.00,73.00,91.00,69.00,1.32,7710.75,15.99,3.17,1.38,10.89,8.24,12.32,9.65,22.72
ODMAX,580,395,MSCI_EM,31.04,-2.25,16.27,11.26,36.38,-2.99,13.83,9.19,7265053906.00,32694969643.00,186.00,28.00,15.00,6.00,16.33,1.43,4739.35,12.94,2.63,1.09,9.90,4.88,15.58,10.37,22.82
PCEMX,878,608,MSCI_EM,33.44,-3.66,11.34,7.77,36.38,-2.99,13.83,9.19,281322361.00,434107256.00,178.00,119.00,128.00,214.00,153.67,1.52,6766.51,13.05,2.45,1.14,7.50,5.86,15.24,9.13,21.90
EITEX,2826,550,MSCI_EM,40.37,-0.27,15.25,10.46,36.38,-2.99,13.83,9.19,426129147.00,3291569892.00,826.00,7.00,12.00,17.00,12.00,2.00,5651.18,14.09,2.32,1.32,8.16,3.04,15.21,8.91,19.88
QFFOX,525,797,MSCI_EM,35.60,-6.04,10.79,7.62,36.38,-2.99,13.83,9.19,104574837.00,110710807.00,78.00,53.00,45.00,32.00,43.33,1.96,10115.54,11.63,2.61,1.15,8.29,3.66,13.81,10.80,24.58
PEMFX,802,612,MSCI_EM,39.93,-5.60,10.84,5.11,36.38,-2.99,13.83,9.19,241021416.00,111470184.00,134.00,69.00,69.00,,69.00,2.07,6926.39,16.18,2.50,1.06,9.46,5.36,11.56,8.44,19.50
PEPSX,840,741,MSCI_EM,40.99,-2.24,12.94,8.97,36.38,-2.99,13.83,9.19,151989272.00,841104557.00,143.00,181.00,146.90,,163.95,2.17,8241.70,12.77,2.82,1.15,7.57,3.99,14.26,10.78,24.55
SIEMX,1908,718,MSCI_EM,31.29,-5.99,11.04,6.18,36.38,-2.99,13.83,9.19,1342286333.00,1765926863.00,391.00,69.00,88.00,69.00,75.33,1.96,9470.09,13.48,2.59,1.21,8.01,6.08,13.85,9.72,21.71
SDMGX,261,381,MSCI_EM,33.97,-4.62,11.28,6.47,36.38,-2.99,13.83,9.19,15281065.00,8176843.00,75.00,30.00,33.72,7.00,23.57,1.95,11708.82,18.36,3.40,2.34,11.45,15.29,17.20,10.56,22.26
SSEMX,1617,698,MSCI_EM,38.06,-4.31,11.98,7.67,36.38,-2.99,13.83,9.19,1402357896.00,90273655.00,307.00,53.00,,25.00,39.00,1.25,12355.61,12.48,2.74,1.19,8.19,5.00,15.04,10.12,22.88
PRMSX,692,536,MSCI_EM,35.58,-7.58,11.30,7.59,36.38,-2.99,13.83,9.19,1553551351.00,7976397652.00,138.00,53.00,70.00,,61.50,1.25,9576.74,16.33,3.44,1.62,10.67,4.76,14.21,10.53,25.64
IEMFX,759,491,MSCI_EM,35.59,-7.89,11.33,7.70,36.38,-2.99,13.83,9.19,147807782.00,1194424328.00,141.00,57.00,69.10,,63.05,1.33,9507.08,16.42,3.44,1.62,10.70,4.82,14.18,10.48,25.57
TEDMX,962,741,MSCI_EM,31.16,-7.12,10.04,6.37,36.38,-2.99,13.83,9.19,4151404066.00,1430719557.00,171.00,35.00,58.74,49.00,47.58,1.97,9350.57,12.39,2.44,0.95,7.41,2.18,16.09,10.10,21.55
TDMIX,0,0,MSCI_EM,N/A,N/A,N/A,,36.38,-2.99,13.83,9.19,289276498.00,1069407076.00,165.00,58.74,,,58.74,2.03,4934.91,12.87,2.60,1.09,9.92,4.70,15.56,10.23,22.30
USEMX,871,630,MSCI_EM,33.75,-3.88,12.43,6.45,36.38,-2.99,13.83,9.19,237405991.00,979005699.00,,36.00,76.00,141.00,84.33,1.78,,,,,,,,,
VCGEX,0,0,MSCI_EM,N/A,N/A,N/A,,36.38,-2.99,13.83,9.19,2506090.00,704011547.00,,,,,,1.92,,,,,,,,,
HIEMX,369,645,MSCI_EM,34.18,0.71,13.98,12.23,36.38,-2.99,13.83,9.19,330388790.00,7419368377.00,67.00,43.00,49.13,34.00,42.04,1.45,10028.77,14.67,3.04,1.41,9.08,6.50,15.23,9.79,21.60
IJPIX,363,490,MSCI_EM,38.57,-1.31,14.42,9.73,36.38,-2.99,13.83,9.19,418967252.00,534526087.00,69.00,49.13,,166.00,107.57,1.58,16542.48,14.74,3.71,1.62,10.73,6.26,16.04,12.60,26.27
EMGYX,0,0,MSCI_EM,50.87,3.05,18.09,12.18,36.38,-2.99,13.83,9.19,386414502.00,3265640549.00,162.00,86.00,,,86.00,1.54,9665.06,13.53,2.04,1.17,7.19,7.22,13.86,8.28,17.85
SP500,7719,1908,S&P500,N/A,N/A,N/A,4.08,36.38,-2.99,13.83,4.08,,11645731000.00,,,,,,,,,,,,,,,
R2000,6089,551,Russell2000,N/A,N/A,N/A,4.67,36.38,-2.99,13.83,4.67,,1058118000.00,,,,,,,,,,,,,,,
NonUS,7454,1861,MSCI_EAFE,N/A,N/A,N/A,2.82,36.38,-2.99,13.83,2.82,,13361480000.00,,,,,,,,,,,,,,,
EM,5671,1021,MSCI_EM,N/A,N/A,N/A,9.19,36.38,-2.99,13.83,9.19,,3993434000.00,,,,,,,155.92,14.78,1.90,0.81,8.08,0.32,5.38,6.27,13.09
